tld,provider,amount
co.zw,openprovider,94.46
coach,openprovider,75.98
codes,openprovider,75
coffee,openprovider,51.9
college,openprovider,95
cologne,openprovider,30.27
com,openprovider,16.98
com.af,openprovider,66.8
com.ag,openprovider,100
com.ai,openprovider,124
com.al,openprovider,75
com.ar,openprovider,145.32
com.au,openprovider,13.67
com.aw,openprovider,272.47
com.az,openprovider,825.88
com.bb,openprovider,375
com.bd,openprovider,85
com.bh,openprovider,399.62
com.bi,openprovider,94.46
com.bj,openprovider,61.76
com.bm,openprovider,175.59
com.bn,openprovider,399.62
com.bo,openprovider,199
com.br,openprovider,41.11
com.bs,openprovider,908.22
com.bt,openprovider,144.1
com.by,openprovider,204.65
com.bz,openprovider,70
com.ci,openprovider,1246
com.cm,openprovider,161.5
com.cn,openprovider,36
com.co,openprovider,18.8
com.cu,openprovider,929
com.cv,openprovider,339.07
com.cw,openprovider,236.14
com.cy,openprovider,239.77
com.de,openprovider,18.1
com.dm,openprovider,482
com.do,openprovider,75
com.dz,openprovider,363.29
com.ec,openprovider,49.95
com.ee,openprovider,26.64
com.eg,openprovider,363.29
com.es,openprovider,4.83
com.et,openprovider,399.62
com.fj,openprovider,294
com.ge,openprovider,145.32
com.gh,openprovider,1053.54
com.gi,openprovider,171.96
com.gl,openprovider,90.81
com.gn,openprovider,399.62
com.gp,openprovider,167.11
com.gr,openprovider,15.12
com.gt,openprovider,82
com.gu,openprovider,541.3
com.gy,openprovider,151
com.hk,openprovider,54.02
com.hn,openprovider,122
com.hr,openprovider,94.46
com.ht,openprovider,57
com.im,openprovider,41.25
com.in,openprovider,11.84
com.jm,openprovider,181.64
com.jo,openprovider,1271.51
com.kg,openprovider,32
com.kh,openprovider,508.61
com.ki,openprovider,152.59
com.km,openprovider,387.51
com.kn,openprovider,557.04
com.ky,openprovider,96.59
com.kz,openprovider,120
com.lb,openprovider,217.97
com.lc,openprovider,29
com.lk,openprovider,51.66
com.lr,openprovider,387.51
com.lv,openprovider,27.79
com.ly,openprovider,139.26
com.mg,openprovider,241.59
com.mk,openprovider,51
com.ml,openprovider,387.51
com.mm,openprovider,288.21
com.mo,openprovider,363.29
com.ms,openprovider,61.76
com.mt,openprovider,60.54
com.mu,openprovider,118.67
com.mv,openprovider,554.62
com.mw,openprovider,205.86
com.mx,openprovider,37.98
com.my,openprovider,120
com.na,openprovider,772.6
com.nf,openprovider,123.5
com.ng,nira,3.48
com.ni,openprovider,240.98
com.np,openprovider,387.51
com.nr,openprovider,387.51
com.om,openprovider,179.22
com.pa,openprovider,150
com.pe,openprovider,110
com.pg,openprovider,762.91
com.ph,openprovider,99.98
com.pk,openprovider,85.5
com.pl,openprovider,42.71
com.pr,openprovider,129
com.ps,openprovider,70
com.pt,openprovider,49.63
com.py,openprovider,180
com.qa,openprovider,835.57
