tld,provider,amount
com.ec,openprovider,39.95
com.ee,openprovider,55.61
com.eg,openprovider,212.78
com.es,openprovider,2.41
com.et,openprovider,398.96
com.fj,openprovider,294
com.ge,openprovider,145.08
com.gh,openprovider,1051.8
com.gi,openprovider,176.51
com.gl,openprovider,90.66
com.gn,openprovider,398.96
com.gp,openprovider,166.84
com.gr,openprovider,13.89
com.gt,openprovider,82
com.gu,openprovider,540.41
com.gy,openprovider,151
com.hk,openprovider,54.03
com.hn,openprovider,122
com.hr,openprovider,102.76
com.ht,openprovider,57
com.im,openprovider,52.41
com.in,openprovider,8.27
com.jm,openprovider,122.11
com.jo,openprovider,1994.8
com.kg,openprovider,32
com.kh,openprovider,494.47
com.ki,openprovider,153.21
com.km,openprovider,212.78
com.kn,openprovider,556.13
com.ky,openprovider,96.43
com.kz,openprovider,86
com.lb,openprovider,217.61
com.lc,openprovider,29
com.lk,openprovider,51.74
com.lr,openprovider,212.78
com.lv,openprovider,27.75
com.ly,openprovider,190
com.mg,openprovider,152.33
com.mk,openprovider,51
com.ml,openprovider,386.87
com.mm,openprovider,287.73
com.mo,openprovider,362.69
com.ms,openprovider,61.76
com.mt,openprovider,78.58
com.mu,openprovider,118.48
com.mv,openprovider,303.45
com.mw,openprovider,205.52
com.mx,openprovider,15.98
com.my,openprovider,120
com.na,openprovider,1303.27
com.nf,openprovider,88
com.ng,nira,3.52
com.ni,openprovider,240.59
com.np,openprovider,1269.42
com.nr,openprovider,386.87
com.om,openprovider,222.45
com.pa,openprovider,150
com.pe,openprovider,110
com.pg,openprovider,666.14
com.ph,openprovider,99.98
com.pk,openprovider,85.5
com.pl,openprovider,34.1
com.pr,openprovider,249
com.ps,openprovider,70
com.pt,openprovider,14.48
com.py,openprovider,180
com.qa,openprovider,1269.42
com.ro,openprovider,48.36
com.ru,openprovider,72.54
com.sa,openprovider,48.36
com.sb,openprovider,117.34
com.sc,openprovider,85
com.sd,openprovider,1148.52
com.se,openprovider,26.54
com.sg,openprovider,80
com.sn,openprovider,1112.25
com.so,openprovider,80
com.ss,openprovider,181.35
com.sv,openprovider,160
com.sy,openprovider,3246.08
com.tj,openprovider,212.78
com.tl,openprovider,108.81
com.tn,openprovider,224.87
com.tr,openprovider,40
com.tt,openprovider,78.66
com.tw,openprovider,63.99
com.ua,openprovider,40
com.ug,openprovider,149.91
com.uy,openprovider,180
com.uz,openprovider,68.91
com.vc,openprovider,51
com.ve,openprovider,98
com.vi,openprovider,199
com.vn,openprovider,145
com.vu,openprovider,97
com.ws,openprovider,113.64
com.ye,openprovider,230.91
com.zm,openprovider,224.87
community,openprovider,49.98
como.it,openprovider,19.28
company,openprovider,24.5
compare,openprovider,48.98
computer,openprovider,48
condos,openprovider,57
conf.lv,openprovider,27.75
construction,openprovider,48
consulting,openprovider,56.9
contact,openprovider,27
contractors,openprovider,39
cooking,openprovider,48.98
cool,openprovider,55
coop,openprovider,180
coop.in,openprovider,8.27
corsica,openprovider,60.45
cosenza.it,openprovider,19.28
country,openprovider,2200
coupons,openprovider,55
courses,openprovider,49.98
cpa.pro,openprovider,226
cq.cn,openprovider,33.26
cr,openprovider,150
cr.it,openprovider,19.28
credit,openprovider,105
creditcard,openprovider,135.5
creditunion,openprovider,200.36
cremona.it,openprovider,19.28
cricket,openprovider,38
crotone.it,openprovider,19.28
cruises,openprovider,57
cs.in,openprovider,8.27
cs.it,openprovider,19.28
ct.it,openprovider,19.28
cu,openprovider,869
cue.ec,openprovider,39.95
cuneo.it,openprovider,19.28
cv,openprovider,338.51
cw,openprovider,202.5
cx,openprovider,38
cy,openprovider,239.38
cymru,openprovider,26.21
cyou,openprovider,25
cz,openprovider,11.51
cz.it,openprovider,19.28
czeladz.pl,openprovider,14.21
czest.pl,openprovider,14.21
dad,openprovider,12
dance,openprovider,32
date,openprovider,33
dating,openprovider,65
day,openprovider,14.98
de,openprovider,5.62
de.com,openprovider,33.79
de.pr,openprovider,294
dealer,openprovider,4000.36
deals,openprovider,48
degree,openprovider,54.9
delhi.in,openprovider,8.27
delivery,openprovider,68
dell-ogliastra.it,openprovider,19.28
dellogliastra.it,openprovider,19.28
democrat,openprovider,48
dental,openprovider,75
dentist,openprovider,60
desi,openprovider,24.36
design,openprovider,45
dev,openprovider,23.98
diamonds,openprovider,55
diet,openprovider,200.36
digital,openprovider,47
direct,openprovider,50
directory,openprovider,27.99
disco.ec,openprovider,39.95
discount,openprovider,39
